lol,Laugh out loud
ily,I love you
ty,Thank you
imy,I miss you
idc,I don't care
ffs,For freak's sake
smh,Shake my head
ngl,Not going to lie
w,With
abt,About
u,You
r,Are
gtg,Going to go
bcoz,Because
coz,Because
bcz,Because
bcos,Because
cld,Could
ez,Easy
fbm,Fine by me
ftw,For the win
ik,I know
wfh,Work from home
lmfao,Laughing my freaking ass off
af,As freak
aight,Alright
awol,Away without leaving
bt,Bad trip
bb,Baby
idgaf,I don't give a freak
dgaf,Don't give a freak
df,The freak
dis,This
dnt,Don't
dw,Don't worry
enf,Enough
fu,Freak you
fwm,Fine with me
gg,Good game
gn,Good night
gm,Good morning
gr8,Great
grl,Girl
grw,Get ready with me
h8,Hate
hbu,How about you
hru,How are you
hw,Homework
idts,I don't think so
ilysm,I love you so much
k,Okay
ldr,Long-distance relationship
l2g,Like to go
ly,Love you
mfw,My face when
m8,Mate
nsfw,Not safe for work
nm,Nothing much
nw,No way
og,Original gangster
ofc,Of course
omfg,Oh my freaking god
otb,Off to bed
otw,Off to work
pm,Private message
prob,Probably
qt,Cutie
rly,Really
sh,Same here
sis,Sister
bro,Brother
sup,What's up
thnk,Thank you
ttly,Totally
ur,You are
wb,Welcome back
whatevs,Whatever
wyd,What are you doing
wdyk,What do you know
wru,Where are you
wtg,Way to go
wywh,Wish you were here
xd,Laugh
xo,Hugs and kisses
y,Why
tryna,Trying to
amaz,Amazing
app,Application
bday,Birthday
bffs,Best friends forever
fam,Family
fav,Favorite
fri,Friday
grats,Congratulations
hmu,Hit me up
humpday,Wednesday
ig,Instagram
jk,Just kidding
meta,Metaphorically
mon,Monday
otd,Outfit of the day
plz,Please
rl,Real life
sat,Saturday
selfie,Self-portrait
sor,Sorry
sun,Sunday
thx,Thanks
tues,Tuesday
vibes,Vibrations
wtf,What the freak
xoxo,Hugs and kisses
yw,You're welcome
24/7,Twenty-four seven
2moro,Tomorrow
4eva,Forever
afk,Away from keyboard
atm,At the moment
b4,Before
btw,By the way
cu,See you
diy,Do it yourself
eta,Estimated time of arrival
faq,Frequently asked questions
fyi,For your information
gmta,Great minds think alike
hbd,Happy birthday
irl,In real life
jfyi,Just for your information
l8r,Later
mia,Missing in action
nvm,Never mind
ootd,Outfit of the day
qotd,Quote of the day
rofl,Rolling on the floor laughing
sry,Sorry
tba,To be announced
tgif,Thank goodness it's Friday
tmi,Too much information
ttyl,Talk to you later
asap,As soon as possible
bff,Best friends forever
dm,Direct message
fomo,Fear of missing out
fwiw,For what it's worth
gmt,Greenwich Mean Time
idk,I don't know
lmk,Let me know
np,No problem
pls,Please
smh,Shaking my head
tbh,To be honest
tfw,That feeling when
wip,Work in progress
ymmv,Your mileage may vary
brb,Be right back
tbc,To be continued
icymi,In case you missed it
imo,In my opinion
nbd,No big deal
omg,Oh my god
otw,On the way
ppl,People
rip,Rest in peace
tbd,To be determined
ugh,Expression of frustration
vip,Very important person
wknd,Weekend
yolo,You only live once
zzz,Sleeping or bored
g8,Great 
grt,Great
w8,Wait
